Posição,Código IBGE,Município,UF,População
2984º,4122503,Roncador,Paraná,10779
2985º,3107901,Bom Repouso,Minas Gerais,10775
2986º,3161908,São Gonçalo do Rio Abaixo,Minas Gerais,10773
2987º,2507903,Juripiranga,Paraíba,10770
2988º,2206100,Matias Olímpio,Piauí,10759
2989º,3532900,Nova Europa,São Paulo,10755
2990º,1703008,Babaçulândia,Tocantins,10752
2991º,1101203,Ministro Andreazza,Rondônia,10751
2992º,2612109,Salgadinho,Pernambuco,10747
2993º,4205308,Faxinal dos Guedes,Santa Catarina,10745
2994º,4117255,Nova Prata do Iguaçu,Paraná,10745
2995º,3550001,São Luiz do Paraitinga,São Paulo,10740
2996º,2202505,Caracol,Piauí,10729
2997º,1702406,Arraias,Tocantins,10727
2998º,4315107,Porto Xavier,Rio Grande do Sul,10718
2999º,4123857,Santa Maria do Oeste,Paraná,10716
3000º,2402501,Carnaubais,Rio Grande do Norte,10715
3001º,2102754,Capinzal do Norte,Maranhão,10713
3002º,2403509,Espírito Santo,Rio Grande do Norte,10702
3003º,2104503,Governador Archer,Maranhão,10700
3004º,2806107,Rosário do Catete,Sergipe,10699
3005º,3154101,Recreio,Minas Gerais,10697
3006º,4316105,Ronda Alta,Rio Grande do Sul,10695
3007º,2706422,Pariconha,Alagoas,10684
3008º,2928505,Santa Teresinha,Bahia,10682
3009º,2701100,Branquinha,Alagoas,10675
3010º,2923902,Pau Brasil,Bahia,10673
3011º,2105807,Lago do Junco,Maranhão,10672
3012º,3520426,Ilha Comprida,São Paulo,10656
3013º,4124806,São João,Paraná,10644
3014º,2510105,Nova Floresta,Paraíba,10639
3015º,4204004,Catanduvas,Santa Catarina,10632
3016º,4314704,Planalto,Rio Grande do Sul,10623
3017º,3115805,Centralina,Minas Gerais,10622
3018º,3166204,Senhora dos Remédios,Minas Gerais,10622
3019º,4301404,Arvorezinha,Rio Grande do Sul,10614
3020º,2207603,Parnaguá,Piauí,10613
3021º,4110805,Iretama,Paraná,10608
3022º,3306156,Varre-Sai,Rio de Janeiro,10597
3023º,3109204,Buenópolis,Minas Gerais,10594
3024º,1100924,Chupinguaia,Rondônia,10593
3025º,3170503,Urucânia,Minas Gerais,10589
3026º,4110953,Itaipulândia,Paraná,10587
3027º,2511806,Pirpirituba,Paraíba,10585
3028º,4200200,Agrolândia,Santa Catarina,10581
3029º,3104106,Arceburgo,Minas Gerais,10578
3030º,3153608,Prudente de Morais,Minas Gerais,10577
3031º,4207205,Imaruí,Santa Catarina,10571
3032º,1716208,Paranã,Tocantins,10562
3033º,3126505,Francisco Badaró,Minas Gerais,10557
3034º,4115101,Mariluz,Paraná,10555
3035º,5216809,Petrolina de Goiás,Goiás,10548
3036º,3122454,Divisópolis,Minas Gerais,10547
3037º,3130200,Igaratinga,Minas Gerais,10547
3038º,4201257,Apiúna,Santa Catarina,10542
3039º,3128204,Guaraciaba,Minas Gerais,10542
3040º,4208708,Jacinto Machado,Santa Catarina,10539
3041º,1506104,Primavera,Pará,10534
3042º,1400407,Normandia,Roraima,10527
3043º,1600204,Calçoene,Amapá,10525
3044º,2204402,Gilbués,Piauí,10522
3045º,3544301,Roseira,São Paulo,10512
3046º,3164506,São Sebastião do Maranhão,Minas Gerais,10511
3047º,3132909,Itamogi,Minas Gerais,10501
3048º,2103109,Cedral,Maranhão,10490
3049º,3120508,Cristina,Minas Gerais,10482
3050º,2903953,Bom Jesus da Serra,Bahia,10477
3051º,4124020,Santa Tereza do Oeste,Paraná,10471
3052º,2509909,Natuba,Paraíba,10460
3053º,5000856,Angélica,Mato Grosso do Sul,10458
3054º,4105003,Catanduvas,Paraná,10451
3055º,2206605,Monte Alegre do Piauí,Piauí,10448
3056º,3509304,Cajobi,São Paulo,10444
3057º,2615201,Terra Nova,Pernambuco,10437
3058º,5203203,Barro Alto,Goiás,10435
3059º,3125903,Ferros,Minas Gerais,10432
3060º,5105580,Marcelândia,Mato Grosso,10422
3061º,3106002,Bela Vista de Minas,Minas Gerais,10416
3062º,2111904,Sucupira do Norte,Maranhão,10416
3063º,4202073,Balneário Gaivota,Santa Catarina,10413
3064º,2924678,Piraí do Norte,Bahia,10411
3065º,2206407,Monsenhor Gil,Piauí,10409
3066º,4320677,Sinimbu,Rio Grande do Sul,10408
3067º,2202059,Cabeceiras do Piauí,Piauí,10406
3068º,2404408,Grossos,Rio Grande do Norte,10386
3069º,2505709,Dona Inês,Paraíba,10383
3070º,3156601,Rubim,Minas Gerais,10377
3071º,3144656,Ninheira,Minas Gerais,10375
3072º,3117108,Conceição da Aparecida,Minas Gerais,10374
3073º,2303659,Catunda,Ceará,10365
3074º,2800407,Arauá,Sergipe,10362
3075º,3305901,Trajano de Moraes,Rio de Janeiro,10352
3076º,3136900,Juruaia,Minas Gerais,10341
3077º,3119203,Coroaci,Minas Gerais,10339
3078º,2204501,Guadalupe,Piauí,10335
3079º,2104081,Fernando Falcão,Maranhão,10326
3080º,4202057,Balneário Barra do Sul,Santa Catarina,10317
3081º,4102604,Barracão,Paraná,10314
3082º,1101104,Itapuã do Oeste,Rondônia,10310
3083º,4207809,Irani,Santa Catarina,10285
3084º,2920007,Maiquinique,Bahia,10274
3085º,2503308,Cachoeira dos Índios,Paraíba,10265
3086º,4206405,Guaraciaba,Santa Catarina,10259
3087º,2500106,Água Branca,Paraíba,10258
3088º,2401701,Bom Jesus,Rio Grande do Norte,10254
3089º,3201100,Bom Jesus do Norte,Espírito Santo,10254
3090º,2203107,Cristino Castro,Piauí,10253
3091º,5100607,Alto Taquari,Mato Grosso,10246
3092º,5212808,Mara Rosa,Goiás,10228
3093º,4100707,Alto Piquiri,Paraná,10222
3094º,2105450,Jatobá,Maranhão,10221
3095º,2407005,Luís Gomes,Rio Grande do Norte,10211
3096º,2805901,Riachuelo,Sergipe,10196
3097º,2912004,Ibiassucê,Bahia,10183
3098º,3304607,Santa Maria Madalena,Rio de Janeiro,10172
3099º,2914109,Ipupiara,Bahia,10157
3100º,2906105,Canápolis,Bahia,10151
3101º,3556354,Vargem,São Paulo,10143
3102º,5102793,Carlinda,Mato Grosso,10136
3103º,4204400,Coronel Freitas,Santa Catarina,10130
3104º,3131505,Ipuiuna,Minas Gerais,10125
3105º,3154804,Rio Acima,Minas Gerais,10123
3106º,4305801,Constantina,Rio Grande do Sul,10109
3107º,2410306,Serra Caiada,Rio Grande do Norte,10099
3108º,3543808,Rinópolis,São Paulo,10098
3109º,2405306,Boa Saúde,Rio Grande do Norte,10096
3110º,3123007,Dores de Campos,Minas Gerais,10093
3111º,3200136,Águia Branca,Espírito Santo,10085
3112º,3114550,Carneirinho,Minas Gerais,10072
3113º,2612000,Sairé,Pernambuco,10065
3114º,2905107,Caém,Bahia,10058
3115º,1100502,Novo Horizonte do Oeste,Rondônia,10051
3116º,3555604,Uchoa,São Paulo,10047
3117º,4214201,Quilombo,Santa Catarina,10044
3118º,4115754,Mauá da Serra,Paraná,10039
3119º,2201606,Beneditinos,Piauí,10037
3120º,3551108,Sarapuí,São Paulo,10034
3121º,3100500,Açucena,Minas Gerais,9997
3122º,5004106,Guia Lopes da Laguna,Mato Grosso do Sul,9991
3123º,4212650,Pescaria Brava,Santa Catarina,9980
3124º,4200705,Alfredo Wagner,Santa Catarina,9960
3125º,5004007,Glória de Dourados,Mato Grosso do Sul,9960
3126º,2921906,Mucugê,Bahia,9957
3127º,3554706,Torrinha,São Paulo,9934
3128º,2918456,Jucuruçu,Bahia,9924
3129º,2509800,Mulungu,Paraíba,9922
3130º,2104651,Governador Newton Bello,Maranhão,9921
3131º,5216304,Paranaiguara,Goiás,9919
3132º,2517001,Umbuzeiro,Paraíba,9913
3133º,3121258,Delta,Minas Gerais,9904
3134º,2914307,Iramaia,Bahia,9901
3135º,3534757,Ouroeste,São Paulo,9897
3136º,2210656,Sigefredo Pacheco,Piauí,9880
3137º,2508000,Juru,Paraíba,9868
3138º,5205000,Carmo do Rio Verde,Goiás,9862
3139º,4313953,Pantano Grande,Rio Grande do Sul,9845
3140º,1506401,Santa Cruz do Arari,Pará,9845
3141º,1400704,Uiramutã,Roraima,9836
3142º,2916203,Itapé,Bahia,9830
3143º,5205307,Cavalcante,Goiás,9829
3144º,4202602,Bom Retiro,Santa Catarina,9796
3145º,5107180,Ribeirão Cascalheira,Mato Grosso,9796
3146º,1703842,Campos Lindos,Tocantins,9795
3147º,4211058,Monte Carlo,Santa Catarina,9785
3148º,1702901,Axixá do Tocantins,Tocantins,9776
3149º,2906899,Caraíbas,Bahia,9773
3150º,2401305,Campo Grande,Rio Grande do Norte,9768
3151º,5201801,Aragoiânia,Goiás,9765
3152º,2907558,Caturama,Bahia,9764
3153º,2933406,Wagner,Bahia,9753
3154º,1701002,Ananás,Tocantins,9749
3155º,1101005,Governador Jorge Teixeira,Rondônia,9745
3156º,3528601,Manduri,São Paulo,9714
3157º,2200707,Anísio de Abreu,Piauí,9705
3158º,3148301,Paula Cândido,Minas Gerais,9698
3159º,5100805,Apiacás,Mato Grosso,9694
3160º,2701506,Campo Grande,Alagoas,9692
3161º,3112505,Capim Branco,Minas Gerais,9678
3162º,3154507,Riacho dos Machados,Minas Gerais,9672
3163º,1200138,Bujari,Acre,9664
3164º,4217303,Saudades,Santa Catarina,9664
3165º,2204808,Ipiranga do Piauí,Piauí,9649
3166º,3103009,Antônio Dias,Minas Gerais,9637
3167º,5219704,Santa Terezinha de Goiás,Goiás,9622
3168º,3133600,Itapeva,Minas Gerais,9618
3169º,2412559,São Miguel do Gostoso,Rio Grande do Norte,9606
3170º,5108055,Terra Nova do Norte,Mato Grosso,9606
3171º,4312906,Nova Bassano,Rio Grande do Sul,9599
3172º,4305306,Chapada,Rio Grande do Sul,9597
3173º,3126901,Frei Inocêncio,Minas Gerais,9597
3174º,2805109,Pedrinhas,Sergipe,9594
3175º,2924900,Planaltino,Bahia,9582
3176º,4122602,Rondon,Paraná,9581
3177º,2921450,Mirante,Bahia,9578
3178º,2410405,Pureza,Rio Grande do Norte,9568
3179º,3540507,Porangaba,São Paulo,9565
3180º,3515350,Euclides da Cunha Paulista,São Paulo,9559
3181º,3113503,Carbonita,Minas Gerais,9544
3182º,2907004,Cardeal da Silva,Bahia,9544
3183º,5203906,Buriti Alegre,Goiás,9535
3184º,2304269,Deputado Irapuan Pinheiro,Ceará,9521
3185º,3532827,Nova Campina,São Paulo,9504
3186º,4216107,São Domingos,Santa Catarina,9502
3187º,2922854,Nova Redenção,Bahia,9500
3188º,3535200,Palmeira d'Oeste,São Paulo,9496
3189º,1400233,Caroebe,Roraima,9493
3190º,2616100,Verdejante,Pernambuco,9490
3191º,2516805,Triunfo,Paraíba,9482
3192º,3102704,Cachoeira de Pajeú,Minas Gerais,9479
3193º,3514601,Dumont,São Paulo,9468
3194º,2705804,Olho d'Água do Casado,Alagoas,9459
3195º,3205150,Vila Pavão,Espírito Santo,9459
3196º,5101308,Arenápolis,Mato Grosso,9455
3197º,3503703,Ariranha,São Paulo,9451
3198º,2933109,Várzea do Poço,Bahia,9449
3199º,3520202,Igaratá,São Paulo,9443
3200º,3137536,Lagoa Grande,Minas Gerais,9440
3201º,3118700,Coqueiral,Minas Gerais,9432
3202º,3112901,Caputira,Minas Gerais,9431
3203º,2704609,Maravilha,Alagoas,9418
3204º,3119500,Coronel Murta,Minas Gerais,9411
3205º,2925931,Quixabeira,Bahia,9411
3206º,4304358,Candiota,Rio Grande do Sul,9406
3207º,2927101,Rodelas,Bahia,9405
3208º,2203453,Dom Inocêncio,Piauí,9404
3209º,2928950,São Domingos,Bahia,9404
3210º,3519006,Herculândia,São Paulo,9397
3211º,5215009,Nova Veneza,Goiás,9389
3212º,2933174,Varzedo,Bahia,9375
3213º,3202553,Ibitirama,Espírito Santo,9373
3214º,4305009,Catuípe,Rio Grande do Sul,9335
3215º,5205901,Corumbaíba,Goiás,9332
3216º,2101970,Boa Vista do Gurupi,Maranhão,9320
3217º,1714203,Natividade,Tocantins,9312
3218º,2401404,Baía Formosa,Rio Grande do Norte,9309
3219º,5107941,Tabaporã,Mato Grosso,9309
3220º,4112405,Japurá,Paraná,9307
3221º,3126208,Formoso,Minas Gerais,9294
3222º,4125209,São Jorge d'Oeste,Paraná,9291
3223º,3545407,Salto Grande,São Paulo,9287
3224º,2310001,Palhano,Ceará,9285
3225º,2204659,Ilha Grande,Piauí,9268
3226º,2928307,Santanópolis,Bahia,9263
3227º,2403806,Florânia,Rio Grande do Norte,9262
3228º,2923506,Palmeiras,Bahia,9250
3229º,2805307,Pirambu,Sergipe,9241
3230º,3554409,Terra Roxa,São Paulo,9227
3231º,3171030,Verdelândia,Minas Gerais,9220
3232º,1304005,Silves,Amazonas,9211
3233º,2900108,Abaíra,Bahia,9199
3234º,3159209,Santa Rita de Caldas,Minas Gerais,9198
3235º,1720804,Sítio Novo do Tocantins,Tocantins,9192
3236º,2902302,Aratuípe,Bahia,9171
3237º,4100301,Agudos do Sul,Paraná,9161
3238º,2701803,Carneiros,Alagoas,9155
3239º,2204204,Francisco Santos,Piauí,9154
3240º,3555802,Urânia,São Paulo,9148
3241º,3116803,Coluna,Minas Gerais,9146
3242º,5202502,Aruanã,Goiás,9138
3243º,1302009,Itapiranga,Amazonas,9125
3244º,5103452,Denise,Mato Grosso,9115
3245º,5205471,Chapadão do Céu,Goiás,9110
3246º,3305307,São Sebastião do Alto,Rio de Janeiro,9094
3247º,3155405,Rio Novo,Minas Gerais,9084
3248º,4304903,Casca,Rio Grande do Sul,9079
3249º,2501401,Baía da Traição,Paraíba,9070
3250º,2405009,Jaçanã,Rio Grande do Norte,9068
3251º,4114906,Marilândia do Sul,Paraná,9068
3252º,2917359,Jaborandi,Bahia,9056
3253º,3542107,Rafard,São Paulo,9054
3254º,5203559,Bonfinópolis,Goiás,9052
3255º,4301057,Arroio do Sal,Rio Grande do Sul,9050
3256º,3128402,Guarani,Minas Gerais,9047
3257º,3138658,Lontra,Minas Gerais,9044
3258º,3542503,Reginópolis,São Paulo,9042
3259º,3118908,Cordisburgo,Minas Gerais,9029
3260º,3152709,Prados,Minas Gerais,9021
3261º,5211404,Itauçu,Goiás,9019
3262º,2919108,Lamarão,Bahia,9007
3263º,3532504,Neves Paulista,São Paulo,8999
3264º,2206696,Murici dos Portelas,Piauí,8997
3265º,3103900,Araújos,Minas Gerais,8996
3266º,4126009,São Sebastião da Amoreira,Paraná,8985
3267º,3304508,Rio das Flores,Rio de Janeiro,8984
3268º,4306932,Entre-Ijuís,Rio Grande do Sul,8981
3269º,2602407,Brejão,Pernambuco,8973
3270º,3511300,Cedral,São Paulo,8971
3271º,2310605,Penaforte,Ceará,8956
3272º,3536604,Paulo de Faria,São Paulo,8953
3273º,2921609,Morpará,Bahia,8950
3274º,2102374,Cachoeira Grande,Maranhão,8930
3275º,4207650,Iporã do Oeste,Santa Catarina,8930
3276º,5000807,Anaurilândia,Mato Grosso do Sul,8927
3277º,4128559,Vera Cruz do Oeste,Paraná,8918
3278º,2923308,Ouriçangas,Bahia,8916
3279º,3514304,Dourado,São Paulo,8909
3280º,3504800,Bálsamo,São Paulo,8908
3281º,2909000,Cordeiros,Bahia,8904
3282º,5203401,Bom Jardim de Goiás,Goiás,8896
3283º,1707702,Filadélfia,Tocantins,8893
3284º,3152907,Pratápolis,Minas Gerais,8890
3285º,2107001,Montes Altos,Maranhão,8889
3286º,2919058,Lagedo do Tabocal,Bahia,8886
3287º,1200344,Manoel Urbano,Acre,8886
3288º,3549508,São José da Bela Vista,São Paulo,8885
3289º,3171709,Virgínia,Minas Gerais,8870
3290º,2804458,Nossa Senhora Aparecida,Sergipe,8869
3291º,4112751,Jesuítas,Paraná,8861
3292º,3143500,Morada Nova de Minas,Minas Gerais,8860
3293º,4123709,Santa Isabel do Ivaí,Paraná,8858
3294º,2920304,Malhada de Pedras,Bahia,8856
3295º,3158904,Santana do Manhuaçu,Minas Gerais,8853
3296º,2912806,Ibirapuã,Bahia,8852
3297º,2313252,Tarrafas,Ceará,8852
3298º,2807204,Siriri,Sergipe,8851
3299º,5214408,Nazário,Goiás,8850
3300º,4215679,Santa Terezinha,Santa Catarina,8846
3301º,2208650,Queimada Nova,Piauí,8842
3302º,3151909,Pocrane,Minas Gerais,8841
3303º,2906402,Candeal,Bahia,8837
3304º,5004809,Japorã,Mato Grosso do Sul,8836
3305º,4127908,Tuneiras do Oeste,Paraná,8833
3306º,5108956,Nova Monte Verde,Mato Grosso,8822
3307º,4106001,Congonhinhas,Paraná,8821
3308º,3204658,São Domingos do Norte,Espírito Santo,8818
3309º,4319802,São Vicente do Sul,Rio Grande do Sul,8817
3310º,3166709,Serra dos Aimorés,Minas Gerais,8809
3311º,5000906,Antônio João,Mato Grosso do Sul,8808
3312º,2407401,Martins,Rio Grande do Norte,8793
3313º,4203501,Campo Erê,Santa Catarina,8787
3314º,5105002,Jauru,Mato Grosso,8776
3315º,3169208,Tombos,Minas Gerais,8772
3316º,3546900,Santa Lúcia,São Paulo,8758
3317º,1600105,Amapá,Amapá,8757
3318º,3514007,Dobrada,São Paulo,8744
3319º,4217907,Tangará,Santa Catarina,8738
3320º,5106265,Novo Mundo,Mato Grosso,8730
3321º,3150505,Pimenta,Minas Gerais,8720
3322º,3129004,Guiricema,Minas Gerais,8714
3323º,3142601,Monsenhor Paulo,Minas Gerais,8711
3324º,3148509,Pavão,Minas Gerais,8709
3325º,2102150,Brejo de Areia,Maranhão,8696
3326º,4316709,Santa Bárbara do Sul,Rio Grande do Sul,8694
3327º,1702000,Araguaçu,Tocantins,8692
3328º,3135357,Japonvar,Minas Gerais,8683
3329º,3112802,Capitólio,Minas Gerais,8682
3330º,4311155,Jóia,Rio Grande do Sul,8679
3331º,2105948,Lago dos Rodrigues,Maranhão,8664
3332º,4308805,General Câmara,Rio Grande do Sul,8663
3333º,1100072,Corumbiara,Rondônia,8659
3334º,5200803,Alvorada do Norte,Goiás,8645
3335º,2308807,Moraújo,Ceará,8636
3336º,2208700,Redenção do Gurgueia,Piauí,8634
3337º,4108957,Guamiranga,Paraná,8619
3338º,2103125,Central do Maranhão,Maranhão,8615
3339º,2802700,Ilha das Flores,Sergipe,8611
3340º,2512804,Riacho dos Cavalos,Paraíba,8609
3341º,3151008,Piranguinho,Minas Gerais,8597
3342º,2916708,Itaquara,Bahia,8592
3343º,4216800,São José do Cerrito,Santa Catarina,8588
3344º,2509057,Marcação,Paraíba,8586
3345º,4103503,Califórnia,Paraná,8583
3346º,3144508,Nazareno,Minas Gerais,8583
3347º,2206803,Nossa Senhora dos Remédios,Piauí,8547
3348º,3157336,Santa Cruz de Minas,Minas Gerais,8547
3349º,3103702,Araponga,Minas Gerais,8544
3350º,3102852,Angelândia,Minas Gerais,8541
3351º,3140555,Mata Verde,Minas Gerais,8539
3352º,3153509,Alto Jequitibá,Minas Gerais,8522
3353º,5214861,Nova Glória,Goiás,8521
3354º,4201505,Armazém,Santa Catarina,8520
3355º,1700707,Alvorada,Tocantins,8516
3356º,4322301,Tuparendi,Rio Grande do Sul,8494
3357º,2603603,Camutanga,Pernambuco,8493
3358º,2407302,Marcelino Vieira,Rio Grande do Norte,8492
3359º,4314159,Paverama,Rio Grande do Sul,8485
3360º,3519253,Iaras,São Paulo,8484
3361º,4109906,Icaraíma,Paraná,8482
3362º,2915700,Itamari,Bahia,8476
3363º,4211108,Monte Castelo,Santa Catarina,8471
3364º,4127809,Tomazina,Paraná,8470
3365º,3515202,Estrela d'Oeste,São Paulo,8466
3366º,3517802,Guaraçaí,São Paulo,8466
3367º,2509305,Mataraca,Paraíba,8466
3368º,5213509,Monte Alegre de Goiás,Goiás,8464
3369º,2910305,Elísio Medrado,Bahia,8461
3370º,2112001,Tasso Fragoso,Maranhão,8455
3371º,5102850,Castanheira,Mato Grosso,8454
3372º,2703601,Japaratinga,Alagoas,8453
3373º,3503406,Arealva,São Paulo,8452
3374º,3534807,Ouro Verde,São Paulo,8440
3375º,4107256,Douradina,Paraná,8439
3376º,2925402,Potiraguá,Bahia,8438
3377º,2506251,Gado Bravo,Paraíba,8435
3378º,2500775,Aparecida,Paraíba,8430
3379º,2204907,Isaías Coelho,Piauí,8428
3380º,2922805,Nova Itarana,Bahia,8428
3381º,2206720,Nazária,Piauí,8425
3382º,3513207,Cristais Paulista,São Paulo,8424
3383º,4317004,Santana da Boa Vista,Rio Grande do Sul,8414
3384º,3537503,Pereiras,São Paulo,8410
3385º,1716703,Colméia,Tocantins,8409
3386º,2700607,Barra de São Miguel,Alagoas,8401
3387º,3129608,Ibiaí,Minas Gerais,8400
3388º,4204905,Descanso,Santa Catarina,8399
3389º,5222054,Vicentinópolis,Goiás,8397
3390º,2205557,Lagoa Alegre,Piauí,8395
3391º,3146503,Pains,Minas Gerais,8391
3392º,5205455,Cezarina,Goiás,8386
3393º,2104073,Feira Nova do Maranhão,Maranhão,8372
3394º,4212254,Passo de Torres,Santa Catarina,8370
3395º,1718303,Praia Norte,Tocantins,8365
3396º,4117008,Nova Fátima,Paraná,8356
3397º,4215653,Santa Rosa do Sul,Santa Catarina,8356
3398º,5204250,Cachoeira Dourada,Goiás,8355
3399º,2412807,São Rafael,Rio Grande do Norte,8343
3400º,2205953,Marcolândia,Piauí,8342
3401º,3300951,Comendador Levy Gasparian,Rio de Janeiro,8336
3402º,3556909,Vista Alegre do Alto,São Paulo,8335
3403º,4201208,Antônio Carlos,Santa Catarina,8327
3404º,2106672,Milagres do Maranhão,Maranhão,8326
3405º,3147709,Passa Tempo,Minas Gerais,8324
3406º,5220504,Serranópolis,Goiás,8323
3407º,2800704,Brejo Grande,Sergipe,8322
3408º,1504109,Magalhães Barata,Pará,8316
3409º,2505402,Desterro,Paraíba,8306
3410º,3154457,Riachinho,Minas Gerais,8290
3411º,3121803,Dionísio,Minas Gerais,8287
3412º,3548054,Santo Antônio do Aracanguá,São Paulo,8285
3413º,4127957,Tupãssi,Paraná,8277
3414º,5212709,Mambaí,Goiás,8271
3415º,2406601,Lagoa Salgada,Rio Grande do Norte,8269
3416º,2919900,Macururé,Bahia,8266
3417º,3511904,Clementina,São Paulo,8254
3418º,3521606,Irapuru,São Paulo,8248
3419º,3150158,Piedade de Caratinga,Minas Gerais,8247
3420º,2501575,Barra de Santana,Paraíba,8241
3421º,5213707,Montes Claros de Goiás,Goiás,8236
3422º,2931103,Tanquinho,Bahia,8232
3423º,5219407,Santa Rita do Araguaia,Goiás,8218
3424º,5200050,Abadia de Goiás,Goiás,8207
3425º,3121100,Delfim Moreira,Minas Gerais,8205
3426º,1100296,Santa Luzia d'Oeste,Rondônia,8198
3427º,2201960,Brasileira,Piauí,8192
3428º,2402402,Carnaúba dos Dantas,Rio Grande do Norte,8188
3429º,4117222,Nova Santa Rosa,Paraná,8186
3430º,5108907,Nova Maringá,Mato Grosso,8182
3431º,3164001,São Pedro dos Ferros,Minas Gerais,8181
3432º,3157252,Santa Bárbara do Leste,Minas Gerais,8180
3433º,4107751,Figueira,Paraná,8177
3434º,2413409,Serra Negra do Norte,Rio Grande do Norte,8175
3435º,3130309,Iguatama,Minas Gerais,8172
3436º,3140530,Martins Soares,Minas Gerais,8172
3437º,2205854,Madeiro,Piauí,8170
3438º,2615904,Tuparetama,Pernambuco,8169
3439º,3143450,Montezuma,Minas Gerais,8168
3440º,2203008,Cristalândia do Piauí,Piauí,8154
3441º,2403004,Cruzeta,Rio Grande do Norte,8147
3442º,1301951,Itamarati,Amazonas,8128
3443º,2511103,Pedra Lavrada,Paraíba,8122
3444º,4111555,Ivaté,Paraná,8120
3445º,2922730,Nova Fátima,Bahia,8119
3446º,4123303,Santa Cruz de Monte Castelo,Paraná,8113
3447º,3519808,Icém,São Paulo,8112
3448º,2202026,Buriti dos Montes,Piauí,8108
3449º,3500402,Águas da Prata,São Paulo,8104
3450º,3519907,Iepê,São Paulo,8103
3451º,3528106,Macaubal,São Paulo,8086
3452º,2911659,Guajeru,Bahia,8081
3453º,4309506,Guarani das Missões,Rio Grande do Sul,8080
3454º,2410900,Riachuelo,Rio Grande do Norte,8075
3455º,2100402,Altamira do Maranhão,Maranhão,8070
3456º,1503754,Jacareacanga,Pará,8059
3457º,4312252,Minas do Leão,Rio Grande do Sul,8059
3458º,3105004,Baldim,Minas Gerais,8051
3459º,5107776,Santa Terezinha,Mato Grosso,8049
3460º,1101807,Vale do Paraíso,Rondônia,8047
3461º,3200359,Alto Rio Novo,Espírito Santo,8022
3462º,2708709,São Miguel dos Milagres,Alagoas,8022
3463º,3545159,Saltinho,São Paulo,8019
3464º,4210308,Major Vieira,Santa Catarina,8015
3465º,4314209,Pedro Osório,Rio Grande do Sul,7999
3466º,5104906,Jangada,Mato Grosso,7996
3467º,3124807,Estrela do Sul,Minas Gerais,7981
3468º,5103601,Dom Aquino,Mato Grosso,7977
3469º,3553500,Tapiraí,São Paulo,7973
3470º,4304713,Caraá,Rio Grande do Sul,7971
3471º,4127882,Tunas do Paraná,Paraná,7971
3472º,2707404,Porto de Pedras,Alagoas,7965
3473º,3158508,Santana de Pirapama,Minas Gerais,7965
3474º,3128907,Guimarânia,Minas Gerais,7956
3475º,2507606,Juarez Távora,Paraíba,7950
3476º,3145877,Orizânia,Minas Gerais,7949
3477º,1717909,Ponte Alta do Tocantins,Tocantins,7949
3478º,2931400,Teodoro Sampaio,Bahia,7936
3479º,5204003,Cabeceiras,Goiás,7935
3480º,3200508,Apiacá,Espírito Santo,7932
3481º,4121752,Reserva do Iguaçu,Paraná,7927
3482º,4109500,Guaraqueçaba,Paraná,7923
3483º,4310504,Iraí,Rio Grande do Sul,7921
3484º,4302451,Boqueirão do Leão,Rio Grande do Sul,7914
3485º,4103057,Boa Vista da Aparecida,Paraná,7911
3486º,2410207,Portalegre,Rio Grande do Norte,7909
3487º,3204252,Ponto Belo,Espírito Santo,7901
3488º,3135605,Jequitaí,Minas Gerais,7890
3489º,3111408,Campo Florido,Minas Gerais,7886
3490º,3123528,Durandé,Minas Gerais,7884
3491º,3521507,Irapuã,São Paulo,7878
3492º,4201703,Ascurra,Santa Catarina,7877
3493º,3139706,Maravilhas,Minas Gerais,7876
3494º,5101605,Barão de Melgaço,Mato Grosso,7872
3495º,3531209,Monte Alegre do Sul,São Paulo,7871
3496º,5202155,Araguapaz,Goiás,7862
3497º,1505601,Peixe-Boi,Pará,7860
3498º,1200328,Jordão,Acre,7858
3499º,3156304,Rodeiro,Minas Gerais,7857
3500º,3523800,Itobi,São Paulo,7853
3501º,2911501,Gongogi,Bahia,7848
3502º,2307205,Jati,Ceará,7847
3503º,2209971,São João do Arraial,Piauí,7847
3504º,3106408,Belo Vale,Minas Gerais,7841
3505º,2904803,Caatiba,Bahia,7841
3506º,3506409,Bilac,São Paulo,7837
3507º,4306056,Cristal,Rio Grande do Sul,7831
3508º,4104105,Campo do Tenente,Paraná,7829
3509º,5002159,Bodoquena,Mato Grosso do Sul,7820
3510º,3116506,Claro dos Poções,Minas Gerais,7819
3511º,3162609,São João do Oriente,Minas Gerais,7819
3512º,3166907,Serrania,Minas Gerais,7812
3513º,3134806,Jacuí,Minas Gerais,7809
3514º,4103800,Cambira,Paraná,7808
3515º,4311502,Lavras do Sul,Rio Grande do Sul,7807
3516º,3168804,Tiradentes,Minas Gerais,7807
3517º,5219001,Sanclerlândia,Goiás,7798
3518º,3137106,Lagamar,Minas Gerais,7795
3519º,2515971,Sobrado,Paraíba,7795
3520º,3165701,Senador Firmino,Minas Gerais,7792
3521º,3505401,Barra do Turvo,São Paulo,7781
3522º,2301505,Arneiroz,Ceará,7777
3523º,4305900,Coronel Bicaco,Rio Grande do Sul,7776
3524º,5212303,Leopoldo de Bulhões,Goiás,7773
3525º,1713601,Monte do Carmo,Tocantins,7770
3526º,1101435,Nova União,Rondônia,7769
3527º,4100103,Abatiá,Paraná,7768
