Posição,Código IBGE,Município,UF,População
185º,4209300,Lages,Santa Catarina,158508
186º,3303203,Nilópolis,Rio de Janeiro,158329
187º,2903201,Barreiras,Bahia,157638
188º,2603454,Camaragibe,Pernambuco,156361
189º,2900702,Alagoinhas,Bahia,155979
190º,1500107,Abaetetuba,Pará,153380
191º,3302700,Maricá,Rio de Janeiro,153008
192º,4118204,Paranaguá,Paraná,152975
193º,3148004,Patos de Minas,Minas Gerais,150893
194º,2207702,Parnaíba,Piauí,150547
195º,3516408,Franco da Rocha,São Paulo,149502
196º,3530706,Mogi Guaçu,São Paulo,149396
197º,2925303,Porto Seguro,Bahia,149324
198º,3152501,Pouso Alegre,Minas Gerais,147137
199º,3525300,Jaú,São Paulo,146338
200º,3304144,Queimados,Rio de Janeiro,145386
201º,3507506,Botucatu,São Paulo,142546
202º,3168606,Teófilo Otoni,Minas Gerais,141934
203º,3304524,Rio das Ostras,Rio de Janeiro,141117
204º,3504107,Atibaia,São Paulo,139683
205º,4320008,Sapucaia do Sul,Rio Grande do Sul,139476
206º,2606002,Garanhuns,Pernambuco,138642
207º,2616407,Vitória de Santo Antão,Pernambuco,137578
208º,4101804,Araucária,Paraná,137452
209º,2513703,Santa Rita,Paraíba,136851
210º,3105608,Barbacena,Minas Gerais,136689
211º,2930709,Simões Filho,Bahia,136050
212º,3156700,Sabará,Minas Gerais,135968
213º,5107909,Sinop,Mato Grosso,135874
214º,4127700,Toledo,Paraná,135538
215º,4202008,Balneário Camboriú,Santa Catarina,135268
216º,3170701,Varginha,Minas Gerais,134364
217º,1502103,Cametá,Pará,134100
218º,4101408,Apucarana,Paraná,132691
219º,1100122,Ji-Paraná,Rondônia,132667
220º,3547304,Santana de Parnaíba,São Paulo,131887
221º,3503307,Araras,São Paulo,131282
222º,2304202,Crato,Ceará,130604
223º,4322400,Uruguaiana,Rio Grande do Sul,129784
224º,4119152,Pinhais,Paraná,129445
225º,4202909,Brusque,Santa Catarina,128818
226º,3513504,Cubatão,São Paulo,128748
227º,3204906,São Mateus,Espírito Santo,128449
228º,1504422,Marituba,Pará,127858
229º,2306405,Itapipoca,Ceará,127465
230º,4316808,Santa Cruz do Sul,Rio Grande do Sul,127429
231º,3118304,Conselheiro Lafaiete,Minas Gerais,127369
232º,4303103,Cachoeirinha,Rio Grande do Sul,127318
233º,4104204,Campo Largo,Paraná,127309
234º,3304201,Resende,Rio de Janeiro,126923
235º,3300209,Araruama,Rio de Janeiro,126742
236º,2307700,Maranguape,Ceará,126486
237º,1507300,São Félix do Xingu,Pará,124806
238º,3201506,Colatina,Espírito Santo,124525
239º,1501709,Bragança,Pará,124184
240º,3556206,Valinhos,São Paulo,124024
241º,3202405,Guarapari,Espírito Santo,123166
242º,3551702,Sertãozinho,São Paulo,122643
243º,2107506,Paço do Lumiar,Maranhão,122420
244º,3302007,Itaguaí,Rio de Janeiro,122369
245º,3171204,Vespasiano,Minas Gerais,122365
246º,4301602,Bagé,Rio Grande do Sul,122209
247º,3543303,Ribeirão Pires,São Paulo,121848
248º,3525003,Jandira,São Paulo,121492
249º,5221403,Trindade,Goiás,121266
250º,1501303,Barcarena,Pará,121190
251º,2103307,Codó,Maranhão,120810
252º,2924009,Paulo Afonso,Bahia,120706
253º,3506508,Birigui,São Paulo,120692
254º,3511102,Catanduva,São Paulo,120691
255º,3505500,Barretos,São Paulo,120638
256º,3518404,Guaratinguetá,São Paulo,120417
257º,3557006,Votorantim,São Paulo,119898
258º,3131703,Itabira,Minas Gerais,119285
259º,3554003,Tatuí,São Paulo,118939
260º,3556503,Várzea Paulista,São Paulo,118917
261º,4101507,Arapongas,Paraná,118477
262º,5008305,Três Lagoas,Mato Grosso do Sul,117477
263º,3103504,Araguari,Minas Gerais,117445
264º,3510500,Caraguatatuba,São Paulo,116786
265º,3523404,Itatiba,São Paulo,116503
266º,3545209,Salto,São Paulo,116191
267º,5208004,Formosa,Goiás,115789
268º,3539806,Poá,São Paulo,115488
269º,1600600,Santana,Amapá,115471
270º,2606804,Igarassu,Pernambuco,115398
271º,4100400,Almirante Tamandaré,Paraná,115364
272º,2910727,Eunápolis,Bahia,115290
273º,4302105,Bento Gonçalves,Rio Grande do Sul,115069
274º,3147907,Passos,Minas Gerais,114458
275º,1303403,Parintins,Amazonas,113832
276º,3169901,Ubá,Minas Gerais,113300
277º,2613701,São Lourenço da Mata,Pernambuco,112099
278º,3534708,Ourinhos,São Paulo,111813
